symbol,1.0.0,1.2.0,1.3.0,1.4.0
_ZN15MorphItemObjNeo7controlEv,0x0035D2EC,0x0035F8DC,0x0035F6BC,0x0036067C
_ZN15MorphItemObjNeo17calcAndSetBaseMtxEv,0x0035D6CC,0x0035FCBC,0x0035FA9C,0x00360A5C
_ZN15MorphItemObjNeo22receiveMsgPlayerAttackEjP9HitSensorS1_,0x0035D924,0x0035FF14,0x0035FCF4,0x00360CB4
_ZN15MorphItemObjNeo15receiveOtherMsgEjP9HitSensorS1_,0x0035DA44,0x00360034,0x0035FE14,0x00360DD4
_ZN2MR19tryCreateDummyModelEP9LiveActorRK12JMapInfoIterli,0x00373200,0x003757E0,0x003755D0,0x003757E0
_ZN19MorphItemCollectionC1EPKc,0x0039F050,0x003A16A0,0x003A1490,0x003A24F0
_ZN19MorphItemCollectionC2EPKc,0x0039F050,0x003A16A0,0x003A1490,0x003A24F0
_ZN19MorphItemCollection4initERK12JMapInfoIter,0x0039F08C,0x003A16DC,0x003A14CC,0x003A252C
_ZN24MorphItemCollectionPatch4initEv,0x0039F08C,0x003A16DC,0x003A14CC,0x003A252C
_ZN19MorphItemCollection16initPowerUpModelERK12JMapInfoIter,0x0039F114,0x003A1764,0x003A1554,0x003A25B4
_ZN19MorphItemCollection17calcAndSetBaseMtxEv,0x0039F250,0x003A18A0,0x003A1690,0x003A26F0
_ZN19MorphItemCollectionD1Ev,0x0039F2B4,0x003A1904,0x003A16F4,0x003A2754
_ZN19MorphItemCollection7exeWaitEv,0x0039F2D8,0x003A1928,0x003A1718,0x003A2778
_ZN19NameObjFactoryPatch19NameObjListAccessorEv,0x009088D0,0x0090F8D0,0x009108F0,0x00912B40
